Latitude (WGS84),Longitude (WGS84),Arc length (m)
51.046530387899445,3.692832379490699,16.8
51.04653065352176,3.6928337444359842,16.9
51.046530922252856,3.692835107849005,17.0
51.046531194089226,3.6928364697119407,17.1
51.046531469027336,3.692837830006995,17.2
51.04653174706357,3.6928391887163934,17.3
51.046532028194285,3.6928405458223708,17.4
51.04653231241583,3.6928419013071947,17.5
51.04653259972448,3.6928432551531554,17.6
51.04653289011648,3.692844607342547,17.7
51.046533183588046,3.6928459578577097,17.8
51.04653348013532,3.6928473066809815,17.9
51.046533779754455,3.692848653794746,18.0
51.0465340824415,3.692849999181387,18.1
51.04653438819253,3.692851342823328,18.2
51.046534697003516,3.6928526847030034,18.3
51.04653500887048,3.692854024802881,18.4
51.04653532378929,3.692855363105439,18.5
51.04653564175585,3.692856699593193,18.6
51.04653596276601,3.6928580342486783,18.7
51.046536286815545,3.6928593670544427,18.8
51.04653661390029,3.6928606979930785,18.9
51.04653694401589,3.6928620270471795,19.0
51.04653727715806,3.6928633541993814,19.1
51.04653761332247,3.692864679432343,19.2
51.04653795250469,3.6928660027287386,19.3
51.04653829470032,3.6928673240712757,19.4
51.046538639904874,3.6928686434426874,19.5
51.04653898811382,3.6928699608257225,19.6
51.046539339322635,3.6928712762031717,19.7
51.04653969352672,3.692872589557843,19.8
51.046540050721454,3.6928739008725673,19.9
51.04654041090214,3.692875210130216,20.0
51.04654077406411,3.6928765173136653,20.1
51.046541140202585,3.6928778224058365,20.2
51.046541509312796,3.6928791253896747,20.3
51.04654188138992,3.6928804262481494,20.4
51.04654225642908,3.692881724964257,20.5
51.0465426344254,3.6928830215210313,20.6
51.04654301537391,3.692884315901518,20.7
51.046543399269666,3.6928856080888055,20.8
51.04654378610761,3.6928868980660083,20.9
51.046544175882715,3.6928881858162583,21.0
51.04654456858987,3.6928894713227307,21.1
51.04654496422396,3.69289075456863,21.2
51.04654536277982,3.692892035537176,21.3
51.04654576425222,3.6928933142116316,21.4
51.0465461686359,3.692894590575282,21.5
51.04654657592561,3.6928958646114536,21.6
51.04654698611602,3.692897136303488,21.7
51.04654739920174,3.692898405634767,21.8
51.046547815177405,3.6928996725887004,21.9
51.046548234037566,3.692900937148735,22.0
51.04654865577675,3.6929021992983393,22.1
51.04654908038942,3.692903459021016,22.2
51.04654950787008,3.692904716300307,22.3
51.046549938213104,3.692905971119775,22.4
51.04655037141288,3.6929072234630254,22.5
51.04655080746373,3.692908473313682,22.6
51.04655124635998,3.6929097206554204,22.7
51.046551688095875,3.6929109654719334,22.8
51.04655213266565,3.6929122077469505,22.9
51.04655258006351,3.6929134474642415,23.0
51.04655303028356,3.6929146846075964,23.1
51.04655348331998,3.692915919160855,23.2
51.04655393916679,3.692917151107877,23.3
51.04655439781809,3.6929183804325643,23.4
51.04655485926783,3.6929196071188466,23.5
51.04655532351001,3.6929208311506936,23.6
51.04655579053856,3.6929220525121087,23.7
51.04655626034738,3.6929232711871314,23.8
51.0465567329303,3.6929244871598264,23.9
51.04655720828119,3.692925700414312,24.0
51.04655768639379,3.6929269109347267,24.1
51.04655816726189,3.692928118705251,24.2
51.04655865087919,3.6929293237100986,24.3
51.046559137239385,3.6929305259335186,24.4
51.04655962633608,3.6929317253598,24.5
51.04656011816291,3.692932921973274,24.6
51.04656061271345,3.6929341157582924,24.7
51.04656110998123,3.6929353066992565,24.8
51.04656160995975,3.6929364947806,24.9
51.04656211264249,3.692937679986803,25.0
51.04656261802285,3.6929388623023636,25.1
51.04656312609424,3.6929400417118354,25.2
51.04656363685003,3.692941218199808,25.3
51.04656415028353,3.692942391750898,25.4
51.04656466638806,3.6929435623497744,25.5
51.04656518515683,3.6929447299811344,25.6
51.046565706583074,3.6929458946297142,25.7
51.046566230660005,3.6929470562802993,25.8
51.046566757380745,3.6929482149177084,25.9
