Latitude (WGS84),Longitude (WGS84),Arc length (m)
50.99293524409539,5.2657794227313595,8.5
50.992935757120975,5.265780594894215,8.6
50.99293627281751,5.265781764110618,8.7
50.992936791178245,5.265782930365294,8.8
50.992937312196446,5.265784093642994,8.9
50.99293783586524,5.265785253928518,9.0
50.99293836217785,5.2657864112067045,9.1
50.992938891127366,5.265787565462425,9.2
50.992939422706854,5.265788716680595,9.3
50.99293995690941,5.265789864846168,9.4
50.99294049372802,5.265791009944139,9.5
50.99294103315568,5.265792151959541,9.6
50.992941575185334,5.265793290877454,9.7
50.99294211980992,5.265794426682985,9.8
50.9929426670223,5.265795559361295,9.9
50.9929432168153,5.265796688897577,10.0
50.992943769181785,5.265797815277071,10.1
50.992944324114504,5.265798938485055,10.2
50.99294488160622,5.265800058506848,10.3
50.992945441649624,5.265801175327815,10.4
50.99294600423741,5.265802288933361,10.5
50.99294656936223,5.265803399308925,10.6
50.99294713701671,5.265804506439998,10.7
50.99294770719339,5.265805610312114,10.8
50.99294827988485,5.265806710910842,10.9
50.99294885508361,5.2658078082217985,11.0
50.99294943278213,5.265808902230644,11.1
50.992950012972884,5.265809992923079,11.2
50.99295059564826,5.265811080284848,11.3
50.992951180800674,5.265812164301746,11.4
50.99295176842246,5.265813244959593,11.5
50.99295235850594,5.265814322244275,11.6
50.99295295104339,5.265815396141708,11.7
50.992953546027096,5.265816466637861,11.8
50.99295414344926,5.265817533718742,11.9
50.992954743302086,5.265818597370399,12.0
50.99295534557772,5.26581965757894,12.1
50.992955950268296,5.2658207143304985,12.2
50.99295655736592,5.265821767611275,12.3
50.992957166862666,5.2658228174074955,12.4
50.99295777875053,5.265823863705438,12.5
50.992958393021546,5.265824906491433,12.6
50.99295900966767,5.265825945751854,12.7
50.99295962868087,5.265826981473113,12.8
50.99296025005303,5.265828013641671,12.9
50.992960873776035,5.265829042244043,13.0
50.99296149984173,5.26583006726679,13.1
50.99296212824195,5.2658310886965065,13.2
50.992962758968446,5.265832106519849,13.3
50.99296339201303,5.26583312072351,13.4
50.99296402736737,5.265834131294241,13.5
50.99296466502321,5.265835138218825,13.6
50.99296530497218,5.265836141484115,13.7
50.99296594720593,5.265837141076986,13.8
50.99296659171608,5.26583813698438,13.9
50.992967238494174,5.265839129193282,14.0
50.99296788753182,5.265840117690721,14.1
50.992968538820456,5.2658411024637815,14.2
50.99296919235162,5.265842083499586,14.3
50.99296984811677,5.265843060785321,14.4
50.992970506107326,5.26584403430821,14.5
50.99297116631467,5.265845004055532,14.6
50.992971828730205,5.265845970014606,14.7
50.99297249334526,5.265846932172814,14.8
50.99297316015114,5.265847890517579,14.9
50.99297382913914,5.265848845036377,15.0
50.99297450030053,5.26584979571673,15.1
50.99297517362652,5.265850742546217,15.2
50.99297584910831,5.26585168551246,15.3
50.99297652673708,5.265852624603138,15.4
50.99297720650396,5.265853559805974,15.5
50.99297788840009,5.265854491108747,15.6
50.99297857241654,5.265855418499285,15.7
50.99297925854436,5.265856341965471,15.8
50.992979946774604,5.265857261495226,15.9
50.99298063709828,5.265858177076542,16.0
50.99298132950636,5.26585908869745,16.1
